name,sport,team1
Trevor Davis,nfl,Green Bay Packers
#HOUvsIND,nfl,Houston Texans
Alfred Blue,nfl,Houston Texans
Bill O'Brien,nfl,Houston Texans
Rick Smith,nfl,Houston Texans
#Colts,nfl,Indianapolis Colts
Frank Gore,nfl,Indianapolis Colts
Jack Doyle,nfl,Indianapolis Colts
Marlon Mack,nfl,Indianapolis Colts
Bouye,nfl,Jacksonville Jaguars
Chris Ivory,nfl,Jacksonville Jaguars
Dede Westbrook,nfl,Jacksonville Jaguars
Doug Marrone,nfl,Jacksonville Jaguars
Fournette,nfl,Jacksonville Jaguars
Jalen Ramsey,nfl,Jacksonville Jaguars
Keelan Cole,nfl,Jacksonville Jaguars
Lambo,nfl,Jacksonville Jaguars
Leonard,nfl,Jacksonville Jaguars
Telvin Smith,nfl,Jacksonville Jaguars
TJ Yeldon,nfl,Jacksonville Jaguars
Tom Coughlin,nfl,Jacksonville Jaguars
Yannick Ngakoue,nfl,Jacksonville Jaguars
Yeldon,nfl,Jacksonville Jaguars
#ChiefsKingdom,nfl,Kansas City Chiefs
Kareem Hunt,nfl,Kansas City Chiefs
Mahomes,nfl,Kansas City Chiefs
Patrick Mahomes,nfl,Kansas City Chiefs
Chargers,nfl,Los Angeles Chargers
Keenan Allen,nfl,Los Angeles Chargers
Roberto Aguayo,nfl,Los Angeles Chargers
#GoKingsGo,nfl,Los Angeles Kings
David Fales,nfl,Miami Dolphins
#BringItHome,nfl,Minnesota Vikings
#Skol,nfl,Minnesota Vikings
Anthony Barr,nfl,Minnesota Vikings
Keenum,nfl,Minnesota Vikings
Latavius Murray,nfl,Minnesota Vikings
QB Sam Bradford,nfl,Minnesota Vikings
Stefon Diggs,nfl,Minnesota Vikings
Teddy Bridgewater,nfl,Minnesota Vikings
The Vikings,nfl,Minnesota Vikings
Trae Waynes,nfl,Minnesota Vikings
Vikings,nfl,Minnesota Vikings
Xavier Rhodes,nfl,Minnesota Vikings
#Patriots,nfl,New England Patriots
Amendola,nfl,New England Patriots
Brian Hoyer,nfl,New England Patriots
Chris Hogan,nfl,New England Patriots
Cooks,nfl,New England Patriots
Danny Amendola,nfl,New England Patriots
Dion Lewis,nfl,New England Patriots
Elandon Roberts,nfl,New England Patriots
Eric Lee,nfl,New England Patriots
Gillette Stadium,nfl,New England Patriots
James Harrison,nfl,New England Patriots
Jonathan Jones,nfl,New England Patriots
Kyle Van Noy,nfl,New England Patriots
Lawrence Guy,nfl,New England Patriots
Marquis Flowers,nfl,New England Patriots
Matt Patricia,nfl,New England Patriots
Patriots,nfl,New England Patriots
